,area_type,availability,location,total_sqft,bath,balcony,price,BHK
916,Super built-up  Area,Ready To Move,Basavangudi,1800.0,3.0,2.0,195.0,3
917,Super built-up  Area,Ready To Move,Basavangudi,1100.0,2.0,3.0,93.0,2
918,Super built-up  Area,Ready To Move,Basavangudi,670.0,1.0,1.0,50.0,1
920,Built-up  Area,Ready To Move,Basavangudi,1050.0,2.0,1.0,103.0,2
921,Super built-up  Area,Ready To Move,Basavangudi,1350.0,2.0,2.0,130.0,3
922,Built-up  Area,Ready To Move,Basavangudi,1485.0,3.0,1.0,140.0,3
923,Super built-up  Area,Not Ready to Move Yet,Basavangudi,1180.0,2.0,3.0,124.0,2
925,Super built-up  Area,Ready To Move,Basavangudi,1200.0,2.0,3.0,120.0,2
927,Carpet  Area,Ready To Move,Basavangudi,1230.0,2.0,0.0,80.0,2
928,Super built-up  Area,Ready To Move,Basavangudi,2350.0,3.0,3.0,300.0,3
929,Super built-up  Area,Ready To Move,Basavangudi,2453.0,3.0,2.0,250.0,4
931,Plot  Area,Ready To Move,Basaveshwara Nagar,4500.0,5.0,1.0,415.0,5
932,Built-up  Area,Ready To Move,Basaveshwara Nagar,1865.0,3.0,3.0,145.0,3
933,Plot  Area,Ready To Move,Basaveshwara Nagar,2460.0,7.0,1.0,350.0,7
934,Super built-up  Area,Ready To Move,Basaveshwara Nagar,1200.0,2.0,0.0,90.0,2
935,Plot  Area,Ready To Move,Basaveshwara Nagar,800.0,6.0,2.0,110.0,6
936,Plot  Area,Ready To Move,Basaveshwara Nagar,2400.0,4.0,1.0,310.0,5
937,Plot  Area,Ready To Move,Basaveshwara Nagar,2520.0,4.0,1.0,378.0,5
938,Super built-up  Area,Ready To Move,Basaveshwara Nagar,1900.0,3.0,3.0,150.0,3
939,Built-up  Area,Ready To Move,Basaveshwara Nagar,1200.0,2.0,2.0,85.0,2
940,Plot  Area,Ready To Move,Basaveshwara Nagar,1200.0,3.0,1.0,180.0,5
941,Plot  Area,Ready To Move,Basaveshwara Nagar,1200.0,1.0,1.0,180.0,2
942,Built-up  Area,Ready To Move,Basaveshwara Nagar,1200.0,3.0,0.0,190.0,3
943,Plot  Area,Ready To Move,Battarahalli,1200.0,2.0,1.0,65.0,2
944,Super built-up  Area,Ready To Move,Battarahalli,1779.0,3.0,2.0,89.61,3
945,Super built-up  Area,Ready To Move,Battarahalli,1300.0,2.0,1.0,50.0,2
946,Super built-up  Area,Ready To Move,Battarahalli,1945.0,3.0,2.0,97.42,3
947,Super built-up  Area,Ready To Move,Battarahalli,1777.0,3.0,2.0,100.0,3
948,Super built-up  Area,Ready To Move,Battarahalli,1135.0,2.0,3.0,43.0,2
949,Super built-up  Area,Ready To Move,Battarahalli,1276.0,2.0,2.0,45.0,2
950,Super built-up  Area,Ready To Move,Battarahalli,1880.0,3.0,2.0,94.36,3
951,Super built-up  Area,Ready To Move,Battarahalli,1071.0,2.0,1.0,62.0,2
952,Super built-up  Area,Ready To Move,Battarahalli,1165.0,2.0,1.0,43.0,2
953,Super built-up  Area,Ready To Move,Battarahalli,1636.0,2.0,2.0,82.89,2
954,Super built-up  Area,Ready To Move,Battarahalli,1779.0,3.0,2.0,90.0,3
956,Super built-up  Area,Not Ready to Move Yet,Battarahalli,1090.0,2.0,2.0,38.37,2
957,Super built-up  Area,Not Ready to Move Yet,Battarahalli,2082.0,3.0,2.0,104.0,3
958,Super built-up  Area,Not Ready to Move Yet,Battarahalli,1590.0,2.0,2.0,102.0,2
959,Super built-up  Area,Not Ready to Move Yet,Battarahalli,2024.0,3.0,2.0,103.0,3
960,Super built-up  Area,Ready To Move,Battarahalli,1097.0,2.0,1.0,49.0,2
962,Super built-up  Area,Ready To Move,Begur,1419.0,2.0,2.0,59.0,3
963,Built-up  Area,Ready To Move,Begur,1580.0,3.0,2.0,75.0,3
964,Built-up  Area,Ready To Move,Begur,1559.0,3.0,2.0,63.0,3
965,Super built-up  Area,Not Ready to Move Yet,Begur,1445.0,2.0,2.0,47.1,3
966,Built-up  Area,Ready To Move,Begur,1475.0,2.0,2.0,74.0,3
967,Built-up  Area,Ready To Move,Begur,3500.0,4.0,2.0,185.0,3
968,Super built-up  Area,Ready To Move,Begur,1100.0,2.0,2.0,55.0,2
969,Built-up  Area,Ready To Move,Begur,1306.0,2.0,3.0,65.0,2
970,Super built-up  Area,Ready To Move,Begur,1304.0,3.0,0.0,65.0,3
971,Super built-up  Area,Not Ready to Move Yet,Begur,1411.0,2.0,2.0,60.0,3
972,Super built-up  Area,Ready To Move,Begur,815.0,2.0,1.0,40.0,2
973,Super built-up  Area,Ready To Move,Begur,1443.0,2.0,2.0,70.0,3
974,Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,44.0,2
975,Super built-up  Area,Not Ready to Move Yet,Begur Road,1358.0,2.0,1.0,80.58,2
976,Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,46.8,2
977,Super built-up  Area,Ready To Move,Begur Road,1160.0,2.0,2.0,44.0,2
979,Super built-up  Area,Ready To Move,Begur Road,1615.0,3.0,2.0,59.76,3
980,Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,43.2,2
981,Super built-up  Area,Ready To Move,Begur Road,1160.0,2.0,2.0,44.08,2
982,Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,45.0,2
983,Super built-up  Area,Ready To Move,Begur Road,1615.0,3.0,2.0,60.0,3
984,Super built-up  Area,Ready To Move,Begur Road,1410.0,2.0,3.0,53.0,3
985,Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,37.8,2
986,Super built-up  Area,Ready To Move,Begur Road,970.0,2.0,2.0,27.0,2
987,Super built-up  Area,Ready To Move,Begur Road,1160.0,2.0,2.0,40.59,2
988,Super built-up  Area,Ready To Move,Begur Road,1260.0,2.0,2.0,46.62,2
990,Super built-up  Area,Not Ready to Move Yet,Begur Road,1634.0,3.0,1.0,83.33,3
992,Super built-up  Area,Ready To Move,Begur Road,1160.0,2.0,2.0,36.0,2
993,Super built-up  Area,Ready To Move,Begur Road,1500.0,2.0,3.0,70.0,3
994,Super built-up  Area,Ready To Move,Begur Road,1160.0,2.0,2.0,42.0,2
995,Super built-up  Area,Ready To Move,Begur Road,1240.0,2.0,2.0,39.06,2
996,Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,45.0,2
998,Super built-up  Area,Ready To Move,Begur Road,1410.0,2.0,3.0,52.17,3
1000,Super built-up  Area,Not Ready to Move Yet,Begur Road,1583.0,3.0,1.0,74.4,3
1001,Super built-up  Area,Ready To Move,Begur Road,1170.0,2.0,2.0,46.0,2
1002,Super built-up  Area,Not Ready to Move Yet,Begur Road,2462.0,4.0,3.0,124.0,4
1003,Super built-up  Area,Ready To Move,Begur Road,1160.0,2.0,2.0,42.92,2
1004,Super built-up  Area,Ready To Move,Begur Road,1410.0,2.0,3.0,52.17,3
1006,Super built-up  Area,Not Ready to Move Yet,Begur Road,2462.0,6.0,2.0,150.0,4
1007,Super built-up  Area,Ready To Move,Begur Road,1225.0,2.0,1.0,35.52,2
1008,Super built-up  Area,Ready To Move,Begur Road,1565.0,2.0,2.0,59.76,3
1009,Super built-up  Area,Ready To Move,Begur Road,1160.0,2.0,2.0,42.0,2
1011,Super built-up  Area,Ready To Move,Begur Road,1410.0,2.0,3.0,53.58,3
1012,Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,45.0,2
1013,Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,42.6,2
1014,Super built-up  Area,Ready To Move,Begur Road,1160.0,2.0,2.0,42.0,2
1015,Super built-up  Area,Ready To Move,Begur Road,1334.0,2.0,3.0,42.69,2
1016,Super built-up  Area,Ready To Move,Begur Road,1565.0,2.0,2.0,57.91,3
1017,Super built-up  Area,Not Ready to Move Yet,Begur Road,1933.0,3.0,2.0,98.0,3
1018,Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,45.6,2
1019,Super built-up  Area,Ready To Move,Begur Road,1215.0,2.0,2.0,43.13,2
1020,Super built-up  Area,Ready To Move,Begur Road,1444.0,2.0,2.0,71.5,3
1021,Super built-up  Area,Ready To Move,Begur Road,1160.0,2.0,2.0,36.54,2
1023,Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,44.4,2
1025,Super built-up  Area,Ready To Move,Begur Road,1260.0,2.0,1.0,39.69,2
1026,Super built-up  Area,Not Ready to Move Yet,Begur Road,2464.5,6.0,0.0,118.0,4
1027,Super built-up  Area,Ready To Move,Begur Road,1160.0,2.0,2.0,44.0,2
1029,Super built-up  Area,Not Ready to Move Yet,Begur Road,952.0,2.0,1.0,42.0,2
1032,Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,42.0,2
1033,Super built-up  Area,Ready To Move,Begur Road,1240.0,2.0,2.0,45.88,2
1034,Plot  Area,Ready To Move,Begur Road,1200.0,3.0,0.0,50.0,3
1036,Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,44.0,2
1038,Built-up  Area,Ready To Move,Begur Road,1100.0,2.0,2.0,42.6,2
1039,Super built-up  Area,Ready To Move,Begur Road,1565.0,2.0,2.0,57.91,3
1040,Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,44.4,2
1041,Super built-up  Area,Not Ready to Move Yet,Begur Road,644.0,1.0,1.0,32.0,1
1042,Super built-up  Area,Not Ready to Move Yet,Begur Road,2500.0,6.0,0.0,122.5,4
1043,Super built-up  Area,Not Ready to Move Yet,Begur Road,1241.0,2.0,1.0,64.0,2
1044,Super built-up  Area,Ready To Move,Begur Road,1160.0,2.0,2.0,36.54,2
1045,Super built-up  Area,Ready To Move,Begur Road,1215.0,2.0,1.0,43.75,2
1046,Built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,44.73,2
1047,Super built-up  Area,Ready To Move,Begur Road,1160.0,2.0,2.0,42.0,2
1048,Super built-up  Area,Not Ready to Move Yet,Begur Road,1583.0,3.0,1.0,95.23,3
1049,Super built-up  Area,Ready To Move,Begur Road,1410.0,2.0,3.0,54.99,3
1050,Super built-up  Area,Ready To Move,Bellandur,1767.0,3.0,1.0,103.0,3
1051,Built-up  Area,Ready To Move,Bellandur,1205.0,2.0,3.0,66.0,2
1052,Super built-up  Area,Ready To Move,Bellandur,1250.0,2.0,1.0,76.0,2
1053,Super built-up  Area,Ready To Move,Bellandur,1000.0,2.0,2.0,50.0,2
1054,Super built-up  Area,Ready To Move,Bellandur,1281.0,2.0,1.0,74.0,2
1055,Super built-up  Area,Ready To Move,Bellandur,921.0,2.0,2.0,40.0,2
1057,Super built-up  Area,Ready To Move,Bellandur,1490.0,2.0,2.0,98.0,3
1061,Super built-up  Area,Ready To Move,Bellandur,1220.0,2.0,2.0,60.0,2
1062,Super built-up  Area,Ready To Move,Bellandur,1299.0,2.0,2.0,82.0,2
1063,Super built-up  Area,Ready To Move,Bellandur,900.0,2.0,2.0,56.0,2
1064,Built-up  Area,Ready To Move,Bellandur,1350.0,2.0,1.0,79.0,2
1065,Super built-up  Area,Ready To Move,Bellandur,1286.0,2.0,2.0,57.0,2
1066,Super built-up  Area,Ready To Move,Bellandur,1457.0,2.0,2.0,85.0,2
1067,Super built-up  Area,Ready To Move,Bellandur,1195.0,2.0,2.0,51.0,2
1068,Super built-up  Area,Ready To Move,Bellandur,1050.0,2.0,2.0,72.0,2
1069,Built-up  Area,Ready To Move,Bellandur,3600.0,4.0,0.0,260.0,4
1070,Super built-up  Area,Ready To Move,Bellandur,1310.0,2.0,2.0,72.0,2
1071,Super built-up  Area,Ready To Move,Bellandur,1785.0,3.0,3.0,118.0,3
1072,Super built-up  Area,Ready To Move,Bellandur,1051.0,2.0,2.0,60.0,2
1074,Super built-up  Area,Ready To Move,Bellandur,1060.0,2.0,1.0,65.0,2
1075,Super built-up  Area,Not Ready to Move Yet,Bellandur,1100.0,2.0,3.0,62.0,2
1076,Super built-up  Area,Not Ready to Move Yet,Bellandur,1685.0,3.0,3.0,100.0,3
1077,Super built-up  Area,Ready To Move,Bellandur,982.0,2.0,2.0,55.0,2
1078,Super built-up  Area,Ready To Move,Bellandur,1205.0,2.0,1.0,59.0,2
1079,Super built-up  Area,Ready To Move,Bellandur,1063.0,2.0,1.0,58.0,2
1080,Super built-up  Area,Ready To Move,Bellandur,1201.0,2.0,2.0,59.99,2
1081,Super built-up  Area,Ready To Move,Bellandur,1325.0,2.0,2.0,65.0,2
1082,Super built-up  Area,Ready To Move,Bellandur,1281.0,2.0,2.0,87.0,2
1084,Super built-up  Area,Ready To Move,Bellandur,1200.0,2.0,1.0,52.0,2
1085,Built-up  Area,Ready To Move,Bellandur,1785.0,3.0,2.0,120.0,3
1086,Super built-up  Area,Ready To Move,Bellandur,1088.0,2.0,2.0,48.0,2
1087,Super built-up  Area,Ready To Move,Bellandur,1310.0,2.0,2.0,85.0,2
1088,Built-up  Area,Ready To Move,Bellandur,1465.0,3.0,3.0,90.0,2
1089,Super built-up  Area,Ready To Move,Bellandur,1767.0,3.0,2.0,109.0,3
1090,Super built-up  Area,Ready To Move,Bellandur,1170.0,2.0,1.0,46.79,2
1091,Super built-up  Area,Ready To Move,Bellandur,1150.0,2.0,1.0,69.44,2
1092,Super built-up  Area,Ready To Move,Bellandur,1410.0,3.0,2.0,92.0,2
1093,Super built-up  Area,Ready To Move,Bellandur,1015.0,2.0,1.0,60.0,2
1095,Super built-up  Area,Not Ready to Move Yet,Bellandur,1685.0,3.0,3.0,101.0,3
1096,Built-up  Area,Ready To Move,Bellandur,1735.0,3.0,3.0,105.0,3
1097,Built-up  Area,Not Ready to Move Yet,Bellandur,1685.0,3.0,3.0,115.0,3
1098,Super built-up  Area,Ready To Move,Bellandur,1846.0,3.0,2.0,135.0,3
1099,Super built-up  Area,Ready To Move,Bellandur,1049.0,2.0,1.0,51.0,2
1101,Built-up  Area,Ready To Move,Bellandur,1211.0,2.0,1.0,63.0,2
1102,Super built-up  Area,Ready To Move,Bellandur,1717.0,3.0,2.0,110.0,3
1104,Super built-up  Area,Ready To Move,Bellandur,1185.0,2.0,1.0,47.39,2
1105,Super built-up  Area,Ready To Move,Bellandur,1200.0,2.0,1.0,62.0,2
1109,Built-up  Area,Ready To Move,Bellandur,960.0,2.0,2.0,48.0,2
1110,Super built-up  Area,Ready To Move,Bellandur,1690.0,2.0,2.0,116.0,3
1111,Super built-up  Area,Ready To Move,Bellandur,950.0,1.0,1.0,40.0,1
1112,Built-up  Area,Ready To Move,Bellandur,850.0,2.0,1.0,45.0,2
1113,Super built-up  Area,Not Ready to Move Yet,Bellandur,1454.0,2.0,1.0,90.0,2
1115,Super built-up  Area,Ready To Move,Bellandur,1195.0,2.0,1.0,52.0,2
1117,Super built-up  Area,Not Ready to Move Yet,Bellandur,1260.0,2.0,2.0,83.5,2
1118,Super built-up  Area,Ready To Move,Bellandur,1047.0,2.0,1.0,75.0,2
1119,Super built-up  Area,Not Ready to Move Yet,Bhoganhalli,1670.0,3.0,1.0,99.0,3
1122,Super built-up  Area,Not Ready to Move Yet,Bhoganhalli,1444.0,2.0,1.0,75.97,2
1123,Super built-up  Area,Not Ready to Move Yet,Bhoganhalli,1447.0,2.0,1.0,75.97,2
1124,Built-up  Area,Ready To Move,Bhoganhalli,1700.0,3.0,2.0,126.0,3
1125,Super built-up  Area,Not Ready to Move Yet,Bhoganhalli,1447.0,2.0,1.0,75.97,2
1129,Super built-up  Area,Ready To Move,Bhoganhalli,1760.0,3.0,2.0,127.0,3
1131,Super built-up  Area,Not Ready to Move Yet,Bhoganhalli,1447.0,2.0,1.0,75.97,2
1132,Super built-up  Area,Ready To Move,Bhoganhalli,1949.0,3.0,2.0,129.0,3
1133,Super built-up  Area,Ready To Move,Bhoganhalli,1760.0,3.0,2.0,128.0,3
1134,Super built-up  Area,Not Ready to Move Yet,Bhoganhalli,1447.0,2.0,1.0,75.97,2
1135,Super built-up  Area,Ready To Move,Bhoganhalli,2439.0,4.0,3.0,185.0,4
1139,Super built-up  Area,Not Ready to Move Yet,Bhoganhalli,1444.0,2.0,1.0,75.97,2
1140,Super built-up  Area,Not Ready to Move Yet,Bhoganhalli,1205.0,2.0,2.0,64.47,2
1141,Super built-up  Area,Not Ready to Move Yet,Bhoganhalli,1447.0,2.0,1.0,75.97,2
1142,Built-up  Area,Ready To Move,Bhoganhalli,2439.0,5.0,2.0,170.0,4
1144,Super built-up  Area,Not Ready to Move Yet,Bhoganhalli,1205.0,2.0,1.0,68.32,2
1145,Super built-up  Area,Ready To Move,Bhoganhalli,1260.0,2.0,1.0,69.9,2
1146,Super built-up  Area,Ready To Move,Bhoganhalli,2439.0,4.0,3.0,170.0,4
1147,Super built-up  Area,Ready To Move,Bhoganhalli,1707.0,3.0,2.0,115.0,3
1149,Built-up  Area,Ready To Move,Bhoganhalli,970.0,2.0,1.0,52.5,2
1151,Super built-up  Area,Not Ready to Move Yet,Bhoganhalli,1277.0,2.0,1.0,79.89,2
1153,Super built-up  Area,Ready To Move,Bhoganhalli,1703.0,3.0,2.0,120.0,3
1155,Super built-up  Area,Ready To Move,Billekahalli,1125.0,2.0,2.0,62.0,2
1157,Super built-up  Area,Ready To Move,Billekahalli,1090.0,2.0,3.0,52.0,2
1158,Super built-up  Area,Ready To Move,Billekahalli,1112.0,2.0,2.0,62.0,2
1159,Built-up  Area,Ready To Move,Billekahalli,2400.0,3.0,1.0,150.0,3
1160,Super built-up  Area,Ready To Move,Billekahalli,950.0,2.0,1.0,58.11,2
1161,Super built-up  Area,Ready To Move,Billekahalli,1360.0,2.0,3.0,110.0,2
1162,Super built-up  Area,Ready To Move,Billekahalli,1125.0,2.0,1.0,65.0,2
1163,Super built-up  Area,Ready To Move,Billekahalli,950.0,2.0,2.0,56.0,2
1165,Built-up  Area,Ready To Move,Billekahalli,1805.0,3.0,3.0,134.0,3
1166,Super built-up  Area,Not Ready to Move Yet,Binny Pete,1755.0,3.0,1.0,122.0,3
1167,Super built-up  Area,Not Ready to Move Yet,Binny Pete,665.0,1.0,0.0,50.75,1
1168,Super built-up  Area,Not Ready to Move Yet,Binny Pete,2465.0,5.0,2.0,234.0,3
1169,Super built-up  Area,Not Ready to Move Yet,Binny Pete,660.0,1.0,1.0,54.0,1
1170,Super built-up  Area,Not Ready to Move Yet,Binny Pete,660.0,1.0,1.0,62.0,1
1171,Super built-up  Area,Not Ready to Move Yet,Binny Pete,1365.0,2.0,1.0,122.0,2
1172,Super built-up  Area,Not Ready to Move Yet,Binny Pete,2940.0,6.0,2.0,280.0,4
1173,Super built-up  Area,Not Ready to Move Yet,Binny Pete,1795.0,3.0,2.0,139.0,3
1174,Super built-up  Area,Not Ready to Move Yet,Binny Pete,1740.0,3.0,1.0,150.0,3
1175,Super built-up  Area,Not Ready to Move Yet,Binny Pete,1970.0,3.0,2.0,164.0,3
1176,Super built-up  Area,Not Ready to Move Yet,Binny Pete,1516.0,3.0,1.0,147.0,3
1177,Super built-up  Area,Ready To Move,Bisuvanahalli,1180.0,3.0,2.0,48.0,3
1179,Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,46.0,3
1182,Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,45.0,3
1184,Built-up  Area,Ready To Move,Bisuvanahalli,845.0,2.0,1.0,33.0,2
1185,Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,45.0,3
1186,Super built-up  Area,Ready To Move,Bisuvanahalli,845.0,2.0,1.0,37.0,2
1189,Super built-up  Area,Ready To Move,Bisuvanahalli,845.0,2.0,1.0,29.0,2
1190,Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,47.0,3
1191,Super built-up  Area,Ready To Move,Bisuvanahalli,850.0,1.0,1.0,32.0,2
1192,Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,50.0,3
1193,Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,52.0,3
1196,Super built-up  Area,Ready To Move,Bisuvanahalli,845.0,2.0,1.0,37.0,2
1197,Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,43.0,3
1198,Built-up  Area,Ready To Move,Bisuvanahalli,700.0,1.0,1.0,32.0,2
1199,Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,52.0,3
1200,Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,50.0,3
1202,Super built-up  Area,Ready To Move,Bisuvanahalli,845.0,2.0,1.0,33.0,2
1203,Super built-up  Area,Ready To Move,Bisuvanahalli,945.0,2.0,1.0,33.0,2
1204,Built-up  Area,Ready To Move,Bisuvanahalli,845.0,2.0,1.0,30.0,2
1206,Built-up  Area,Ready To Move,Bisuvanahalli,873.0,2.0,1.0,40.0,3
1208,Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,43.0,3
1209,Built-up  Area,Ready To Move,Bisuvanahalli,1080.0,2.0,1.0,45.0,3
1210,Super built-up  Area,Ready To Move,Bisuvanahalli,1180.0,2.0,1.0,55.5,3
1211,Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,47.0,3
1212,Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,48.0,3
1214,Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,45.0,3
1215,Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,44.0,3
1217,Super built-up  Area,Ready To Move,Bisuvanahalli,845.0,2.0,2.0,32.0,2
1219,Built-up  Area,Ready To Move,Bisuvanahalli,845.0,2.0,0.0,34.0,2
1220,Built-up  Area,Ready To Move,Bommanahalli,3000.0,8.0,0.0,140.0,8
1221,Super built-up  Area,Ready To Move,Bommanahalli,1200.0,2.0,2.0,40.0,2
1222,Super built-up  Area,Ready To Move,Bommanahalli,1730.0,3.0,1.0,96.0,3
1223,Super built-up  Area,Ready To Move,Bommanahalli,520.0,1.0,0.0,19.5,1
1224,Built-up  Area,Ready To Move,Bommanahalli,515.0,1.0,1.0,25.0,1
1225,Built-up  Area,Ready To Move,Bommanahalli,1090.0,3.0,2.0,44.0,2
1229,Super built-up  Area,Ready To Move,Bommanahalli,1850.0,3.0,2.0,90.0,3
1230,Super built-up  Area,Ready To Move,Bommanahalli,957.0,2.0,1.0,53.0,2
1231,Super built-up  Area,Ready To Move,Bommanahalli,910.0,2.0,1.0,45.0,2
1232,Super built-up  Area,Ready To Move,Bommanahalli,1050.0,2.0,2.0,46.0,2
1233,Built-up  Area,Ready To Move,Bommanahalli,1290.0,2.0,1.0,73.0,2
1234,Super built-up  Area,Ready To Move,Bommanahalli,1100.0,1.0,2.0,55.0,2
1236,Built-up  Area,Ready To Move,Bommanahalli,1350.0,2.0,2.0,72.0,2
1238,Super built-up  Area,Ready To Move,Bommanahalli,1020.0,2.0,2.0,55.0,2
1241,Super built-up  Area,Ready To Move,Bommanahalli,1307.0,2.0,1.0,50.0,2
1242,Super built-up  Area,Ready To Move,Bommanahalli,1416.0,2.0,1.0,85.0,3
1243,Built-up  Area,Ready To Move,Bommanahalli,1091.0,2.0,1.0,40.0,2
1244,Super built-up  Area,Ready To Move,Bommanahalli,1355.0,2.0,0.0,73.17,2
1245,Super built-up  Area,Ready To Move,Bommanahalli,1160.0,2.0,3.0,53.0,2
1246,Super built-up  Area,Ready To Move,Bommanahalli,1050.0,2.0,2.0,54.0,2
1247,Super built-up  Area,Not Ready to Move Yet,Bommasandra,1260.0,3.0,1.0,49.36,3
1248,Super built-up  Area,Not Ready to Move Yet,Bommasandra,1060.0,2.0,1.0,26.5,2
1249,Super built-up  Area,Not Ready to Move Yet,Bommasandra,1126.0,2.0,1.0,28.15,2
1250,Super built-up  Area,Ready To Move,Bommasandra,1200.0,3.0,2.0,46.0,3
1251,Super built-up  Area,Not Ready to Move Yet,Bommasandra,1035.0,2.0,1.0,41.0,2
1252,Super built-up  Area,Not Ready to Move Yet,Bommasandra,1035.0,2.0,1.0,41.73,2
1253,Super built-up  Area,Ready To Move,Bommasandra,1034.0,2.0,3.0,40.0,2
1254,Built-up  Area,Ready To Move,Bommasandra,877.0,2.0,2.0,30.0,2
1255,Built-up  Area,Ready To Move,Bommasandra,1447.0,3.0,2.0,80.0,3
1256,Super built-up  Area,Not Ready to Move Yet,Bommasandra,920.0,2.0,1.0,37.46,2
1257,Super built-up  Area,Not Ready to Move Yet,Bommasandra,1035.0,2.0,1.0,41.43,2
1258,Super built-up  Area,Ready To Move,Bommasandra,902.0,2.0,2.0,49.0,2
1259,Super built-up  Area,Not Ready to Move Yet,Bommasandra,1295.0,2.0,1.0,50.28,3
1260,Super built-up  Area,Not Ready to Move Yet,Bommasandra,1015.0,2.0,1.0,40.0,2
1261,Built-up  Area,Ready To Move,Bommasandra,1000.0,2.0,1.0,35.0,2
1262,Super built-up  Area,Not Ready to Move Yet,Bommasandra,955.0,2.0,1.0,35.28,2
1263,Super built-up  Area,Not Ready to Move Yet,Bommasandra,1005.0,2.0,1.0,39.77,2
1264,Super built-up  Area,Ready To Move,Bommasandra,1014.0,2.0,1.0,35.0,2
1265,Super built-up  Area,Not Ready to Move Yet,Bommasandra,1020.0,2.0,1.0,40.89,2
1266,Super built-up  Area,Not Ready to Move Yet,Bommasandra,920.0,2.0,1.0,37.2,2
1267,Super built-up  Area,Ready To Move,Bommasandra,800.0,1.0,1.0,32.0,2
1268,Super built-up  Area,Not Ready to Move Yet,Bommasandra,1280.0,3.0,1.0,50.0,3
1269,Super built-up  Area,Not Ready to Move Yet,Bommasandra,1127.0,2.0,1.0,45.0,2
1271,Super built-up  Area,Ready To Move,Bommasandra,877.0,2.0,1.0,29.0,2
1272,Super built-up  Area,Not Ready to Move Yet,Bommasandra,1365.0,3.0,1.0,52.81,3
1273,Super built-up  Area,Ready To Move,Bommasandra,842.0,2.0,2.0,30.0,2
1274,Super built-up  Area,Not Ready to Move Yet,Bommasandra,1260.0,3.0,1.0,49.36,3
1275,Super built-up  Area,Not Ready to Move Yet,Bommasandra,1365.0,3.0,1.0,52.82,3
1276,Super built-up  Area,Not Ready to Move Yet,Bommasandra,955.0,2.0,1.0,37.97,2
1277,Super built-up  Area,Ready To Move,Bommasandra,1089.0,2.0,1.0,40.0,2
1278,Built-up  Area,Ready To Move,Bommasandra,950.0,2.0,1.0,25.0,2
1279,Super built-up  Area,Not Ready to Move Yet,Bommasandra,1365.0,3.0,1.0,53.96,3
1280,Built-up  Area,Not Ready to Move Yet,Bommasandra Industrial Area,1090.0,2.0,2.0,31.48,2
1282,Built-up  Area,Not Ready to Move Yet,Bommasandra Industrial Area,1400.0,2.0,1.0,40.44,3
1283,Built-up  Area,Not Ready to Move Yet,Bommasandra Industrial Area,1320.0,2.0,1.0,38.13,3
1285,Built-up  Area,Not Ready to Move Yet,Bommasandra Industrial Area,1020.0,2.0,1.0,29.45,2
1286,Built-up  Area,Not Ready to Move Yet,Bommasandra Industrial Area,1165.0,2.0,1.0,33.64,2
1287,Built-up  Area,Not Ready to Move Yet,Bommasandra Industrial Area,1090.0,2.0,1.0,31.48,2
1289,Built-up  Area,Not Ready to Move Yet,Bommasandra Industrial Area,1000.0,2.0,1.0,28.88,2
1290,Built-up  Area,Not Ready to Move Yet,Bommasandra Industrial Area,1020.0,2.0,1.0,29.45,2
1291,Built-up  Area,Not Ready to Move Yet,Bommasandra Industrial Area,1160.0,2.0,1.0,33.51,2
1292,Built-up  Area,Not Ready to Move Yet,Bommasandra Industrial Area,1125.0,2.0,1.0,32.49,2
1295,Built-up  Area,Not Ready to Move Yet,Bommasandra Industrial Area,1125.0,2.0,1.0,32.49,2
